DisciplineName,count,Direction
Написание и защита докторской диссертации,1,Другое
Наука как особая форма человеческой деятельности,1,Другое
Научно-исследовательская работа,403,Другое
"Научно-исследовательская работа докторанта, включая выполнение докторской диссертации",6,Другое
"Научно-технические проблемы радиотехники, электроники и телекоммуникаций",6,Электроника и телеком
Научно-технические проблемы электроэнергетики,10,Электроника и телеком
Научные основы моделирования в инфокоммуникационных системах,1,Математика / Физика
Научные основы разработки документации для аккредитации испытательных лабораторий,1,Измерения / Метрология / Качество
Неразрушающий контроль в технических системах,2,Другое
Нетрадиционные и возобновляемые источники энергии,118,Другое
Нормирование точности в метрологии,15,Измерения / Метрология / Качество
Обеспечение качества сертификации промышленной продукции,23,Измерения / Метрология / Качество
Общая и неорганическая химия,40,Другое
Общая теория измерений,20,Измерения / Метрология / Качество
Объектно-ориентированное программирование,238,IT / Программирование
Операционные системы,192,IT / Программирование
Организация автомобильных перевозок,78,Транспорт
Организация вычислительных систем и сетей,41,Другое
Организация делопроизводства на государственном языке,1,Языки
Организация и безопасность дорожного движения,78,Транспорт
Организация и планирование научной деятельности,1,Другое
Организация строительного производства,344,Строительство / Архитектура
Основы САПР,1,Другое
Основы автоматизированного проектирования,17,Другое
Основы автоматизированного проектирования в сварке,1,Другое
Основы академического письма,801,Софт-скиллы / Общие компетенции
Основы архитектурного черчения,18,Строительство / Архитектура
Основы безопасности жизнедеятельности,22,Другое
Основы взаимозаменяемости,51,Другое
Основы инженерного творчества,36,Другое
Основы информационно-измерительных технологий,32,IT / Программирование
Основы информационных систем,327,IT / Программирование
Основы искусственного интеллекта,13,Другое
Основы композиции,142,Другое
Основы компьютерных сетей,95,IT / Программирование
Основы конструирования и детали машин,71,Машиностроение
Основы конструирования и технологии производства радиокомпонентов,45,Электроника и телеком
Основы конструкции автомобилей,47,Транспорт
Основы материаловедения,54,Другое
Основы нанотехнологий,141,Другое
Основы научных исследований,12,Другое
Основы организации научных исследований и инновационной деятельности,2,Другое
Основы права и антикоррупционной культуры,232,Софт-скиллы / Общие компетенции
Основы права и правового регулирования,8,Софт-скиллы / Общие компетенции
Основы проектирования технологического оборудования,79,Другое
Основы робототехнических систем,10,Другое
Основы сетевых технологий,74,IT / Программирование
Основы систем автоматизированного проектирования,87,Другое
Основы телевидения и видеотехники,113,Другое
Основы технического регулирования,10,Другое
Основы технической механики,67,Другое
Основы технической эксплуатации транспортной техники,66,Транспорт
